"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","11","99","19","7","6853.1","10","6853.1"
"1","20","11","99","18","7","6847.4","10","6853.1"
"1","30","11","99","20","14","6878.6","10","6878.6"
"1","40","52","99","20","-5","31966.6","10","31966.6"
"1","50","52","96","20","-5","31976.8","10","31976.8"
"1","60","12","96","20","-5","7535.6","10","31976.8"
"1","70","52","97","20","-18","32178.9","10","32178.9"
"1","80","52","0","20","-18","32627.3","10","32627.3"
"1","90","52","0","20","-5","32663.9","10","32663.9"
"1","100","52","1","20","-5","32694.1","10","32694.1"
"1","110","76","1","20","-5","47634.7","10","47634.7"
"1","120","76","1","19","-5","47735.6","10","47735.6"
"1","130","75","1","19","-5","47034.3","10","47735.6"
"1","140","76","63","20","-5","46133","10","47735.6"
"1","150","79","1","19","-5","49599.9","10","49599.9"
"1","160","79","1","-25","-5","49558.2","10","49599.9"
"1","170","79","0","19","-5","49649.1","10","49649.1"
"1","180","79","7","19","-5","49561.3","10","49649.1"
"1","190","79","0","19","6","49610.2","10","49649.1"
"1","200","78","1","-13","-5","48976.7","10","49649.1"
"1","210","15","7","19","-5","9398.2","10","49649.1"
"1","220","79","1","22","-5","49595.5","10","49649.1"
"1","230","79","0","22","-9","49580.6","10","49649.1"
"1","240","79","0","10","-5","49538","10","49649.1"
"1","250","79","8","19","-5","49593.7","10","49649.1"
"1","260","79","3","19","-5","49590.2","10","49649.1"
"1","270","48","0","19","-5","30078.2","10","49649.1"
"1","280","79","0","-6","-5","49566.1","10","49649.1"
"1","290","79","0","20","-5","49552.5","10","49649.1"
"1","300","95","0","19","-5","59576.5","10","59576.5"
